"Activities","City","Complete Name","Country","Email","Follow-up Responsible","Phone","Salesperson"
"","","Admin Sistem","","admin@sppgekorlubuk.id","","",""
"","","Admin Sistem 2","","admin2@sppgekorlubuk.id","","",""
"","","Ahli Gizi","","ahligizi@sppgekorlubuk.id","","082100000003",""
"","","Akuntan","","akuntan@sppgekorlubuk.id","","082100000002",""
"","","Ayasha","","admin@sppgekorlubuk.id","","",""
"","","Bpk. Andi (TU SDN 01)","","","","082111000101",""
"","","Bpk. Budi (TU SDN 03)","","","","082111000103",""
"","","Bpk. Dwi (TU SMPN 05)","","","","082111000205",""
"","","Bpk. Hendra (TU SDN 05)","","","","082111000105",""
"","","Bpk. Reza (TU SMPN 03)","","","","082111000203",""
"","","Bpk. Surya (TU SMPN 01)","","","","082111000201",""
"","Padang Selatan","CV Beras Nusantara","","beras.nusantara@vendor.id","","085555111001",""
"","Padang Timur","CV Sabun Klin Bersih","","sabunklin@cv.id","","085555442011",""
"","","Chef","","chef@sppgekorlubuk.id","","082100000004",""
"","","Dapur SPPG Ekor Lubuk","Indonesia","admin@sppgekorlubuk.id","","082100000005",""
"","","Ghoffar","","admin2@sppgekorlubuk.id","","",""
"","Kuranji","Grosir Buah Manis Jaya","","buahmanis@vendor.id","","085555115003",""
"","","Ibu Dian (TU SMPN 02)","","","","082111000202",""
"","","Ibu Maya (TU SDN 06)","","","","082111000106",""
"","","Ibu Ratna (TU SDN 04)","","","","082111000104",""
"","","Ibu Rina (TU SMPN 06)","","","","082111000206",""
"","","Ibu Siti (TU SDN 02)","","","","082111000102",""
"","","Ibu Tari (TU SMPN 04)","","","","082111000204",""
"","","Kepala SPPG","","kepala@sppgekorlubuk.id","","082100000001",""
"","Padang Barat","Koperasi Nelayan Ikan Segar","","nelayan.ikansegar@koperasi.id","","085555224005",""
"","Koto Tangah","Koperasi Sayur Segar Subur","","sayursegar@koperasi.id","","085555113002",""
"","Lubuk Begalung","PT Daging Ayam Sentosa","","ayamsentosa@pt.id","","085555222004",""
"","Padang Utara","PT Logam Makmur (Pabrik Ompreng)","","logammakmur@pt.id","","085555441010",""
"","Nanggalo","Pabrik Tahu Tempe Kedelai Asli","","tahukedelai@umkm.id","","085555225006",""
"","","Relawan Cuci Ompreng","","cuci.ompreng@sppgekorlubuk.id","","08210000010",""
"","","Relawan Distribusi (Tim Pagi)","","distribusi.pagi@sppgekorlubuk.id","","082100000008",""
"","","Relawan Distribusi (Tim Siang)","","distribusi.siang@sppgekorlubuk.id","","082100000009",""
"","","Relawan Logistik & Gudang","","gudang@sppgekorlubuk.id","","082100000006",""
"","","Relawan Packing/Porsi","","packing@sppgekorlubuk.id","","082100000007",""
"","Ekor Lubuk","SDN 01 Ekor Lubuk","","tu.sdn01@sekolah.id","","082111000101",""
"","Ekor Lubuk","SDN 02 Ekor Lubuk","","tu.sdn02@sekolah.id","","082111000102",""
"","Ekor Lubuk","SDN 03 Ekor Lubuk","","tu.sdn03@sekolah.id","","082111000103",""
"","Ekor Lubuk","SDN 04 Ekor Lubuk","","tu.sdn04@sekolah.id","","082111000104",""
"","Ekor Lubuk","SDN 05 Ekor Lubuk","","tu.sdn05@sekolah.id","","082111000105",""
"","Ekor Lubuk","SDN 06 Ekor Lubuk","","tu.sdn06@sekolah.id","","082111000106",""
"","Ekor Lubuk","SMPN 01 Ekor Lubuk","","tu.smpn01@sekolah.id","","082111000201",""
"","Ekor Lubuk","SMPN 02 Ekor Lubuk","","tu.smpn02@sekolah.id","","082111000202",""
"","Ekor Lubuk","SMPN 03 Ekor Lubuk","","tu.smpn03@sekolah.id","","082111000203",""
"","Ekor Lubuk","SMPN 04 Ekor Lubuk","","tu.smpn04@sekolah.id","","082111000204",""
"","Ekor Lubuk","SMPN 05 Ekor Lubuk","","tu.smpn05@sekolah.id","","082111000205",""
"","Ekor Lubuk","SMPN 06 Ekor Lubuk","","tu.smpn06@sekolah.id","","082111000206",""
"","Ekor Lubuk","UMKM Bubur Kacang Hijau","","kacang.hijau@umkm.id","","085555335009",""
"","Ekor Lubuk","UMKM Roti Manis Ibu Sari","","rotimanis.ibusari@umkm.id","","085555333007",""
"","Ekor Lubuk","UMKM Susu Sapi Lokal","","sususapi.lokal@umkm.id","","085555334008",""
