"Activities","Department","Employee Name","Job Position","Manager","Next Activity Deadline","Work Email","Work Phone"
"","Administration","Aya (Admin Sistem)","","","","admin@sppgekorlubuk.id","082100000005"
"","","Bpk. Farah (Akuntan)","","","","akuntan@sppgekorlubuk.id","082100000005"
"","","Bpk. Ilham (Kepala SPPG)","","","","kepala@sppgekorlubuk.id","082100000005"
"","Administration","Ghoffar (Admin Sistem 2)","","","","admin2@sppgekorlubuk.id","082100000005"
"","","Kepala Chef","","","","chef@sppgekorlubuk.id","082100000005"
"","","Nisa (Ahli Gizi)","","","","ahligizi@sppgekorlubuk.id","082100000005"
"","","Regu Distribusi Pagi","","","","distribusi.pagi@sppgekorlubuk.id","082100000005"
"","","Regu Distribusi Siang","","","","distribusi.siang@sppgekorlubuk.id","082100000005"
"","","Regu Packing & Porsi","","","","packing@sppgekorlubuk.id","082100000005"
"","","Tim Cuci Ompreng","","","","cuci.ompreng@sppgekorlubuk.id","082100000005"
"","","Tim Logistik & Gudang","","","","gudang@sppgekorlubuk.id","082100000005"
